grid,rho0,n_agents,seed,force_scheme,agent_radius,agent_mass,v0_max,steps_recorded,final_step,total_raw_contact_detections,total_unique_contact_events,peak_active_contacts,peak_max_rho,peak_max_u,minimum_rho_safety_margin,minimum_velocity_safety_margin,first_raw_contact_step,first_unique_contact_step,mean_agent_speed_over_time,peak_agent_speed_mean_field
100x100x100,1.0,40,42,nearest,5.0,25.0,0.2,100,99,9.0,9.0,1.0,1.013583935616559,0.045714305736968,18.98641606438344,1.054285694263032,7.0,7.0,0.25192018475407785,0.2523179322877626
100x100x100,1.0,40,43,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.0148421378167929,0.0484327089984866,18.985157862183208,1.0515672910015135,5.0,5.0,0.2518723237996975,0.2523221216728052
100x100x100,1.0,40,44,nearest,5.0,25.0,0.2,100,99,27.0,8.0,2.0,1.011418307926896,0.043384259234331,18.988581692073105,1.056615740765669,15.0,15.0,0.25199500710437195,0.2523219171696176
100x100x100,1.0,40,45,nearest,5.0,25.0,0.2,100,99,16.0,13.0,2.0,1.015661770871328,0.0480749222780092,18.98433822912867,1.0519250777219908,10.0,10.0,0.2518339054464953,0.2523219284587393
100x100x100,1.0,40,46,nearest,5.0,25.0,0.2,100,99,16.0,16.0,1.0,1.0165626311291218,0.0480328042016249,18.983437368870877,1.0519671957983752,6.0,6.0,0.25183249297851495,0.2523155448616356
100x100x100,1.0,40,47,nearest,5.0,25.0,0.2,100,99,12.0,12.0,1.0,1.0172153153860604,0.0492913907889148,18.98278468461394,1.0507086092110853,3.0,3.0,0.2518492730042392,0.2523164970893236
100x100x100,1.0,40,48,nearest,5.0,25.0,0.2,100,99,17.0,17.0,1.0,1.014788904631721,0.0449596385288015,18.985211095368278,1.0550403614711985,6.0,6.0,0.2518116677526212,0.2523144473358248
100x100x100,1.0,40,49,nearest,5.0,25.0,0.2,100,99,7.0,7.0,2.0,1.0136738048624665,0.0459757572895548,18.986326195137533,1.0540242427104454,55.0,55.0,0.25194274314685045,0.252322865026153
100x100x100,1.0,40,50,nearest,5.0,25.0,0.2,100,99,15.0,15.0,2.0,1.0130432910201597,0.0414068097760107,18.98695670897984,1.0585931902239893,4.0,4.0,0.2519420462864614,0.2523143297636517
100x100x100,1.0,40,51,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.016173667469316,0.0481251159358888,18.983826332530683,1.0518748840641112,4.0,4.0,0.2519622224486086,0.2523226403172137
100x100x100,1.0,40,52,nearest,5.0,25.0,0.2,100,99,12.0,12.0,1.0,1.0138211604792418,0.0441262339603579,18.986178839520758,1.0558737660396422,11.0,11.0,0.2519534461285496,0.2523169489867511
100x100x100,1.0,40,53,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.015339383587111,0.0468584136835165,18.98466061641289,1.0531415863164837,15.0,15.0,0.2519590958813464,0.2523237234842774
100x100x100,1.0,40,54,nearest,5.0,25.0,0.2,100,99,17.0,17.0,2.0,1.0152802957296605,0.046914877094187,18.98471970427034,1.0530851229058131,5.0,5.0,0.251868856113097,0.2523151289743176
